Make,Brand,Country,Sports,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail,HighwayMPG,Dealer,Engine,Cylinders,Horsepower,CityMPG,Weight,Wheelbase,Length,Width
Buick Park Avenue,Buick,US,0,0,0,0,0,0,0,35545,29,32244,3.8,6,205,20,3778,114,207,75
Buick Park Avenue Ultra,Buick,US,0,0,0,0,0,0,0,40720,28,36927,3.8,6,240,18,3909,114,207,75
Buick Rainier,Buick,US,0,1,0,0,0,1,0,37895,21,34357,4.2,6,275,15,4600,113,193,75
Buick Regal GS,Buick,US,0,0,0,0,0,0,0,28345,28,26047,3.8,6,240,18,3536,109,196,73
Buick Regal LS,Buick,US,0,0,0,0,0,0,0,24895,30,22835,3.8,6,200,20,3461,109,196,73
Buick Rendezvous CX,Buick,US,0,1,0,0,0,0,0,26545,26,24085,3.4,6,185,19,4024,112,187,74
Cadillac CTS VVT,Cadillac,US,0,0,0,0,0,0,1,30835,25,28575,3.6,6,255,18,3694,113,190,71
Cadillac Deville,Cadillac,US,0,0,0,0,0,0,0,45445,26,41650,4.6,8,275,18,3984,115,207,74
Cadillac Deville DTS,Cadillac,US,0,0,0,0,0,0,0,50595,26,46362,4.6,8,300,18,4044,115,207,74
Cadillac Escaladet,Cadillac,US,0,1,0,0,0,0,0,52795,18,48377,5.3,8,295,14,5367,116,199,79
Cadillac Seville,Cadillac,US,0,0,0,0,0,0,0,47955,26,43841,4.6,8,275,18,3992,112,201,75
Cadillac SRX V8,Cadillac,US,0,1,0,0,0,0,0,46995,21,43523,4.6,8,320,16,4302,116,195,73
Cadillac XLR,Cadillac,US,1,0,0,0,0,0,1,76200,25,70546,4.6,8,320,17,3647,106,178,72
Chevrolet Aveo,Chevrolet,US,0,0,0,0,0,0,0,11690,34,10965,1.6,4,103,28,2370,98,167,66
Chevrolet Astro,Chevrolet,US,0,0,0,1,0,1,0,26395,17,23954,4.3,6,190,14,4605,111,190,78
Chevrolet Aveo LS,Chevrolet,US,0,0,0,0,0,0,0,12585,34,11802,1.6,4,103,28,2348,98,153,66
Chevrolet Cavalier two-door,Chevrolet,US,0,0,0,0,0,0,0,14610,37,13697,2.2,4,140,26,2617,104,183,69
Chevrolet Cavalier four-door,Chevrolet,US,0,0,0,0,0,0,0,14810,37,13884,2.2,4,140,26,2676,104,183,68
Chevrolet Cavalier LS,Chevrolet,US,0,0,0,0,0,0,0,16385,37,15357,2.2,4,140,26,2617,104,183,69
Chevrolet Corvette,Chevrolet,US,1,0,0,0,0,0,1,44535,25,39068,5.7,8,350,18,3246,105,180,74
Chevrolet Corvette convertible,Chevrolet,US,1,0,0,0,0,0,1,51535,25,45193,5.7,8,350,18,3248,105,180,74
Chevrolet Impala,Chevrolet,US,0,0,0,0,0,0,0,21900,32,20095,3.4,6,180,21,3465,111,200,73
Chevrolet Impala LS,Chevrolet,US,0,0,0,0,0,0,0,25000,30,22931,3.8,6,200,20,3476,111,200,73
Chevrolet Impala SS,Chevrolet,US,0,0,0,0,0,0,0,27995,28,25672,3.8,6,240,18,3606,111,200,73
Chevrolet Malibu,Chevrolet,US,0,0,0,0,0,0,0,18995,34,17434,2.2,4,145,24,3174,106,188,70
Chevrolet Malibu LS,Chevrolet,US,0,0,0,0,0,0,0,20370,30,18639,3.5,6,200,22,3297,106,188,70
Chevrolet Malibu LT,Chevrolet,US,0,0,0,0,0,0,0,23495,32,21551,3.5,6,200,23,3315,106,188,70
Chevrolet Malibu Maxx,Chevrolet,US,0,0,1,0,0,0,0,22225,30,20394,3.5,6,200,22,3458,112,188,70
Chevrolet Monte Carlo LS,Chevrolet,US,0,0,0,0,0,0,0,21825,32,20026,3.4,6,180,21,3340,111,198,73
Chevrolet Monte Carlo SS,Chevrolet,US,0,0,0,0,0,0,0,24225,28,22222,3.8,6,200,18,3434,111,198,73
Chevrolet Suburban 1500 LT,Chevrolet,US,0,1,0,0,0,0,0,42735,18,37422,5.3,8,295,14,4947,130,219,79
Chevrolet Tahoe LT,Chevrolet,US,0,1,0,0,0,1,0,41465,18,36287,5.3,8,295,14,5050,116,197,79
Chevrolet Tracker,Chevrolet,US,0,1,0,0,0,0,0,20255,22,19108,2.5,6,165,19,2866,98,163,67
Chevrolet TrailBlazer LT,Chevrolet,US,0,1,0,0,0,0,0,30295,21,27479,4.2,6,275,16,4425,113,192,75
Chevrolet Venture LS,Chevrolet,US,0,0,0,1,0,0,0,27020,26,24518,3.4,6,185,19,3699,112,187,72
Chrysler 300M,Chrysler,US,0,0,0,0,0,0,0,29865,27,27797,3.5,6,250,18,3581,113,198,74
Chrysler 300M Special Edition,Chrysler,US,0,0,0,0,0,0,0,33295,27,30884,3.5,6,255,18,3650,113,198,74
Chrysler Concorde LX,Chrysler,US,0,0,0,0,0,0,0,24130,29,22452,2.7,6,200,21,3479,113,208,74
Chrysler Concorde LXi,Chrysler,US,0,0,0,0,0,0,0,26860,27,24909,3.5,6,232,19,3548,113,208,74
Chrysler Crossfire,Chrysler,US,1,0,0,0,0,0,1,34495,25,32033,3.2,6,215,17,3060,95,160,70
Chrysler Pacifica,Chrysler,US,0,0,1,0,0,0,1,31230,23,28725,3.5,6,250,17,4675,116,199,79
Chrysler PT Cruiser,Chrysler,US,0,0,0,0,0,0,0,17985,29,16919,2.4,4,150,22,3101,103,169,67
Chrysler PT Cruiser GT,Chrysler,US,0,0,0,0,0,0,0,25955,27,24172,2.4,4,220,21,3217,103,169,67
Chrysler PT Cruiser Limited,Chrysler,US,0,0,0,0,0,0,0,22000,29,20573,2.4,4,150,22,3105,103,169,67
Chrysler Sebring,Chrysler,US,0,0,0,0,0,0,0,19090,30,17805,2.4,4,150,22,3173,108,191,71
Chrysler Sebring Touring,Chrysler,US,0,0,0,0,0,0,0,21840,28,20284,2.7,6,200,21,3222,108,191,71
Chrysler Sebring convertible,Chrysler,US,0,0,0,0,0,0,0,25215,30,23451,2.4,4,150,22,3357,106,194,64
Chrysler Sebring Limited convertible,Chrysler,US,0,0,0,0,0,0,0,30950,28,28613,2.7,6,200,21,3448,106,194,69
Chrysler Town and Country LX,Chrysler,US,0,0,0,1,0,0,0,27490,26,25371,3.3,6,180,19,4068,119,201,79
Chrysler Town and Country Limited,Chrysler,US,0,0,0,1,0,0,0,38380,25,35063,3.8,6,215,18,4331,119,201,79
Dodge Caravan SE,Dodge,US,0,0,0,1,0,0,0,21795,26,20508,2.4,4,150,20,3862,113,189,79
Dodge Durango SLT,Dodge,US,0,1,0,0,0,1,0,32235,21,29472,4.7,8,230,15,4987,119,201,76
Dodge Grand Caravan SXT,Dodge,US,0,0,0,1,0,1,0,32660,25,29812,3.8,6,215,18,4440,119,201,79
Dodge Intrepid ES,Dodge,US,0,0,0,0,0,0,0,24885,27,23058,3.5,6,232,18,3487,113,204,75
Dodge Intrepid SE,Dodge,US,0,0,0,0,0,0,0,22035,29,20502,2.7,6,200,21,3469,113,204,75
Dodge Neon SE,Dodge,US,0,0,0,0,0,0,0,13670,36,12849,2,4,132,29,2581,105,174,67
Dodge Neon SXT,Dodge,US,0,0,0,0,0,0,0,15040,36,14086,2,4,132,29,2626,105,174,67
Dodge Stratus SXT,Dodge,US,0,0,0,0,0,0,0,18820,28,17512,2.4,4,150,21,3182,108,191,71
Dodge Stratus SE,Dodge,US,0,0,0,0,0,0,0,20220,28,18821,2.4,4,150,21,3175,108,191,71
Ford Crown Victoria,Ford,US,0,0,0,0,0,0,1,24345,25,22856,4.6,8,224,17,4057,115,212,78
Ford Crown Victoria LX,Ford,US,0,0,0,0,0,0,1,27370,25,25105,4.6,8,224,17,4057,115,212,78
Ford Crown Victoria LX Sport,Ford,US,0,0,0,0,0,0,1,30315,25,27756,4.6,8,239,17,4057,115,212,78
Ford Escape XLS,Ford,US,0,1,0,0,0,1,0,22515,23,20907,3,6,201,18,3346,103,173,70
Ford Expedition 4.6 XLT,Ford,US,0,1,0,0,0,0,0,34560,19,30468,4.6,8,232,15,5000,119,206,79
Ford Explorer XLT V6,Ford,US,0,1,0,0,0,1,0,29670,20,26983,4,6,210,15,4463,114,190,72
Ford Focus LX,Ford,US,0,0,0,0,0,0,0,13730,36,12906,2,4,110,27,2606,103,168,67
Ford Focus SE,Ford,US,0,0,0,0,0,0,0,15460,33,14496,2,4,130,26,2606,103,168,67
Ford Focus SVT,Ford,US,0,0,0,0,0,0,0,19135,28,17878,2,4,170,21,2750,103,168,67
Ford Focus ZTW,Ford,US,0,0,1,0,0,0,0,17475,33,16375,2,4,130,26,2702,103,178,67
Ford Focus ZX5,Ford,US,0,0,0,0,0,0,0,15580,33,14607,2,4,130,26,2691,103,168,67
Ford Focus ZX3,Ford,US,0,0,0,0,0,0,0,13270,33,12482,2,4,130,26,2612,103,168,67
Ford Freestar SE,Ford,US,0,0,0,1,0,0,0,26930,23,24498,3.9,6,193,17,4275,121,201,77
Ford Mustang,Ford,US,1,0,0,0,0,0,1,18345,29,16943,3.8,6,193,20,3290,101,183,73
Ford Mustang GT Premium,Ford,US,1,0,0,0,0,0,1,29380,25,26875,4.6,8,260,17,3347,101,183,73
Ford Taurus LX,Ford,US,0,0,0,0,0,0,0,20320,27,18881,3,6,155,20,3306,109,198,73
Ford Taurus SE,Ford,US,0,0,1,0,0,0,0,22290,26,20457,3,6,155,19,3497,109,198,73
Ford Taurus SES Duratec,Ford,US,0,0,0,0,0,0,0,22735,26,20857,3,6,201,19,3313,109,198,73
Ford Thunderbird Deluxe,Ford,US,1,0,0,0,0,0,0,37530,24,34483,3.9,8,280,17,3780,107,186,72
GMC Envoy XUV SLE,GMC,US,0,1,0,0,0,0,0,31890,19,28922,4.2,6,275,15,4945,129,208,75
GMC Safari SLE,GMC,US,0,0,0,1,0,0,1,25640,20,23215,4.3,6,190,16,4309,111,190,78
GMC Yukon 1500 SLE,GMC,US,0,1,0,0,0,0,0,35725,19,31361,4.8,8,285,16,5042,116,199,79
GMC Yukon XL 2500 SLT,GMC,US,0,1,0,0,0,1,0,46265,17,40534,6,8,325,13,6133,130,219,79
Honda Accord EX,Honda,Japan,0,0,0,0,0,0,0,22260,34,20080,2.4,4,160,26,3047,105,188,71
Honda Accord EX V6,Honda,Japan,0,0,0,0,0,0,0,26960,30,24304,3,6,240,21,3294,105,188,71
Honda Accord LX,Honda,Japan,0,0,0,0,0,0,0,19860,34,17924,2.4,4,160,26,2994,105,188,71
Honda Accord LX V6,Honda,Japan,0,0,0,0,0,0,0,23760,30,21428,3,6,240,21,3349,108,190,72
Honda Civic EX,Honda,Japan,0,0,0,0,0,0,0,17750,37,16265,1.7,4,127,32,2601,103,175,68
Honda Civic DX,Honda,Japan,0,0,0,0,0,0,0,13270,38,12175,1.7,4,115,32,2432,103,175,67
Honda Civic HX,Honda,Japan,0,0,0,0,0,0,0,14170,44,12996,1.7,4,117,36,2500,103,175,67
Honda Civic LX,Honda,Japan,0,0,0,0,0,0,0,15850,38,14531,1.7,4,115,32,2513,103,175,68
Honda Civic Si,Honda,Japan,0,0,0,0,0,0,0,19490,30,17849,2,4,160,26,2782,101,166,67
Honda Civic Hybrid,Honda,Japan,0,0,0,0,0,0,0,20140,51,18451,1.4,4,93,46,2732,103,175,68
Honda CR-V LX,Honda,Japan,0,1,0,0,0,1,0,19860,25,18419,2.4,4,160,21,3258,103,179,70
Honda Element LX,Honda,Japan,0,1,0,0,0,1,0,18690,24,17334,2.4,4,160,21,3468,101,167,72
Honda Insight,Honda,Japan,0,0,0,0,0,0,0,19110,66,17911,2,3,73,60,1850,95,155,67
Honda Odyssey EX,Honda,Japan,0,0,0,1,0,0,0,27450,25,24744,3.5,6,240,18,4365,118,201,76
Honda Odyssey LX,Honda,Japan,0,0,0,1,0,0,0,24950,25,22498,3.5,6,240,18,4310,118,201,76
Honda Pilot LX,Honda,Japan,0,1,0,0,0,1,0,27560,22,24843,3.5,6,240,17,4387,106,188,77
Honda S2000,Honda,Japan,1,0,0,0,0,0,1,33260,25,29965,2.2,4,240,20,2835,95,162,69
Hummer H2,Hummer,US,0,1,0,0,0,1,0,49995,12,45815,6,8,316,10,6400,123,190,81
Hyundai Accent,Hyundai,Korea,0,0,0,0,0,0,0,10539,33,10107,1.6,4,103,29,2255,96,167,66
Hyundai Accent GL,Hyundai,Korea,0,0,0,0,0,0,0,11839,33,11116,1.6,4,103,29,2290,96,167,66
Hyundai Accent GT,Hyundai,Korea,0,0,0,0,0,0,0,11939,33,11209,1.6,4,103,29,2339,96,167,66
Hyundai Elantra GLS,Hyundai,Korea,0,0,0,0,0,0,0,13839,34,12781,2,4,138,26,2635,103,178,68
Hyundai Elantra GT,Hyundai,Korea,0,0,0,0,0,0,0,15389,34,14207,2,4,138,26,2635,103,178,68
Hyundai Elantra GT hatch,Hyundai,Korea,0,0,0,0,0,0,0,15389,34,14207,2,4,138,26,2698,103,178,68
Hyundai Santa Fe GLS,Hyundai,Korea,0,1,0,0,0,0,0,21589,26,20201,2.7,6,173,20,3549,103,177,73
Hyundai Sonata GLS,Hyundai,Korea,0,0,0,0,0,0,0,19339,27,17574,2.7,6,170,19,3217,106,187,72
Hyundai Sonata LX,Hyundai,Korea,0,0,0,0,0,0,0,20339,27,18380,2.7,6,170,19,3217,106,187,72
Hyundai Tiburon GT V6,Hyundai,Korea,1,0,0,0,0,0,0,18739,26,17101,2.7,6,172,19,3023,100,173,69
Hyundai XG350,Hyundai,Korea,0,0,0,0,0,0,0,24589,26,22055,3.5,6,194,17,3651,108,192,72
Hyundai XG350 L,Hyundai,Korea,0,0,0,0,0,0,0,26189,26,23486,3.5,6,194,17,3651,108,192,72
Infiniti FX35,Infiniti,Japan,0,0,1,0,0,0,1,34895,22,31756,3.5,6,280,16,4056,112,189,76
Infiniti FX45,Infiniti,Japan,0,0,1,0,0,1,0,36395,19,33121,4.5,8,315,15,4309,112,189,76
Infiniti G35,Infiniti,Japan,0,0,0,0,0,0,1,28495,26,26157,3.5,6,260,18,3336,112,187,69
Infiniti G35 Sport Coupe,Infiniti,Japan,0,0,0,0,0,0,1,29795,26,27536,3.5,6,280,18,3416,112,182,72
Infiniti G35 AWD,Infiniti,Japan,0,0,0,0,0,1,0,32445,26,29783,3.5,6,260,18,3677,112,187,69
Infiniti I35,Infiniti,Japan,0,0,0,0,0,0,0,31145,26,28320,3.5,6,255,19,3306,108,194,70
Infiniti M45,Infiniti,Japan,0,0,0,0,0,0,1,42845,23,38792,4.5,8,340,17,3851,110,197,70
Infiniti Q45 Luxury,Infiniti,Japan,0,0,0,0,0,0,1,52545,23,47575,4.5,8,340,17,3977,113,200,73
Isuzu Ascender S,Isuzu,Japan,0,1,0,0,0,1,0,31849,20,29977,4.2,6,275,15,4967,129,208,76
Isuzu Rodeo S,Isuzu,Japan,0,1,0,0,0,0,0,20449,21,19261,3.2,6,193,17,3836,106,178,70
Jaguar S-Type 3.0,Jaguar,EU,0,0,0,0,0,0,1,43895,26,40004,3,6,235,18,3777,115,192,72
Jaguar S-Type 4.2,Jaguar,EU,0,0,0,0,0,0,1,49995,28,45556,4.2,8,294,18,3874,115,192,72
Jaguar S-Type R,Jaguar,EU,0,0,0,0,0,0,1,63120,24,57499,4.2,8,390,17,4046,115,192,72
Jaguar Vanden Plas,Jaguar,EU,0,0,0,0,0,0,1,68995,28,62846,4.2,8,294,18,3803,119,200,73
Jaguar X-Type 2.5,Jaguar,EU,0,0,0,0,0,1,0,29995,26,27355,2.5,6,192,18,3428,107,184,70
Jaguar X-Type 3.0,Jaguar,EU,0,0,0,0,0,1,0,33995,25,30995,3,6,227,18,3516,107,184,70
Jaguar XJ8,Jaguar,EU,0,0,0,0,0,0,1,59995,28,54656,4.2,8,294,18,3803,119,200,73
Jaguar XJR,Jaguar,EU,0,0,0,0,0,0,1,74995,24,68306,4.2,8,390,17,3948,119,200,73
Jaguar XK8 coupe,Jaguar,EU,1,0,0,0,0,0,1,69995,26,63756,4.2,8,294,18,3779,102,187,71
Jaguar XK8 convertible,Jaguar,EU,1,0,0,0,0,0,1,74995,26,68306,4.2,8,294,18,3980,102,187,71
Jaguar XKR coupe,Jaguar,EU,1,0,0,0,0,0,1,81995,23,74676,4.2,8,390,16,3865,102,187,71
Jaguar XKR convertible,Jaguar,EU,1,0,0,0,0,0,1,86995,23,79226,4.2,8,390,16,4042,102,187,71
Jeep Grand Cherokee Laredo,Jeep,EU,0,1,0,0,0,0,0,27905,21,25686,4,6,195,16,3790,106,181,72
Jeep Liberty Sport,Jeep,EU,0,1,0,0,0,1,0,20130,24,18973,2.4,4,150,20,3826,104,174,72
Jeep Wrangler Sahara,Jeep,EU,0,1,0,0,0,1,0,25520,19,23275,4,6,190,16,3575,93,150,67
Kia Optima LX,Kia,Korea,0,0,0,0,0,0,0,16040,30,14910,2.4,4,138,23,3281,106,186,72
Kia Optima LX V6,Kia,Korea,0,0,0,0,0,0,0,18435,27,16850,2.7,6,170,20,3279,106,186,72
Kia Rio auto,Kia,Korea,0,0,0,0,0,0,0,11155,32,10705,1.6,4,104,25,2458,95,167,66
Kia Rio manual,Kia,Korea,0,0,0,0,0,0,0,10280,33,9875,1.6,4,104,26,2403,95,167,66
Kia Rio Cinco,Kia,Korea,0,0,1,0,0,0,0,11905,33,11410,1.6,4,104,26,2447,95,167,66
Kia Sedona LX,Kia,Korea,0,0,0,1,0,0,0,20615,22,19400,3.5,6,195,16,4802,115,194,75
Kia Sorento LX,Kia,Korea,0,1,0,0,0,0,0,19635,19,18630,3.5,6,192,16,4112,107,180,73
Kia Spectra,Kia,Korea,0,0,0,0,0,0,0,12360,32,11630,1.8,4,124,24,2661,101,178,68
Kia Spectra GS,Kia,Korea,0,0,0,0,0,0,0,13580,32,12830,1.8,4,124,24,2686,101,178,68
Kia Spectra GSX,Kia,Korea,0,0,0,0,0,0,0,14630,32,13790,1.8,4,124,24,2697,101,178,68
Land Rover Discovery SE,Land,EU,0,1,0,0,0,1,0,39250,16,35777,4.6,8,217,12,4576,100,185,74
Land Rover Freelander SE,Land,EU,0,1,0,0,0,1,0,25995,21,23969,2.5,6,174,18,3577,101,175,71
Land Rover Range Rover HSE,Land,EU,0,1,0,0,0,1,0,72250,16,65807,4.4,8,282,12,5379,113,195,76
Lexus ES 330,Lexus,Japan,0,0,0,0,0,0,0,32350,29,28755,3.3,6,225,20,3460,107,191,71
Lexus GS 300,Lexus,Japan,0,0,0,0,0,0,1,41010,25,36196,3,6,220,18,3649,110,189,71
Lexus GS 430,Lexus,Japan,0,0,0,0,0,0,1,48450,23,42232,4.3,8,300,18,3715,110,189,71
Lexus GX 470,Lexus,Japan,0,1,0,0,0,1,0,45700,19,39838,4.7,8,235,15,4740,110,188,74
Lexus IS 300 manual,Lexus,Japan,0,0,0,0,0,0,1,31045,25,27404,3,6,215,18,3255,105,177,68
Lexus IS 300 auto,Lexus,Japan,0,0,0,0,0,0,1,32415,24,28611,3,6,215,18,3285,105,177,68
Lexus IS 300 SportCross,Lexus,Japan,0,0,1,0,0,0,1,32455,24,28647,3,6,215,18,3410,105,177,68
Lexus LS 430,Lexus,Japan,0,0,0,0,0,0,1,55750,25,48583,4.3,8,290,18,3990,115,197,72
Lexus LX 470,Lexus,Japan,0,1,0,0,0,1,0,64800,17,56455,4.7,8,235,13,5590,112,193,76
Lexus SC 430,Lexus,Japan,1,0,0,0,0,0,1,63200,23,55063,4.3,8,300,18,3840,103,178,72
Lexus RX 330,Lexus,Japan,0,1,0,0,0,1,0,39195,24,34576,3.3,6,230,18,4065,107,186,73
Lincoln Aviator Ultimate,Lincoln,US,0,1,0,0,0,0,0,42915,18,39443,4.6,8,302,13,4834,114,193,76
Lincoln LS V6 Luxury,Lincoln,US,0,0,0,0,0,0,1,32495,26,29969,3,6,232,20,3681,115,194,73
Lincoln LS V6 Premium,Lincoln,US,0,0,0,0,0,0,1,36895,26,33929,3,6,232,20,3681,115,194,73
Lincoln LS V8 Sport,Lincoln,US,0,0,0,0,0,0,1,40095,24,36809,3.9,8,280,17,3768,115,194,73
Lincoln LS V8 Ultimate,Lincoln,US,0,0,0,0,0,0,1,43495,24,39869,3.9,8,280,17,3768,115,194,73
Lincoln Navigator Luxury,Lincoln,US,0,1,0,0,0,1,0,52775,18,46360,5.4,8,300,13,5969,119,206,80
Lincoln Town Car Signature,Lincoln,US,0,0,0,0,0,0,1,41815,25,38418,4.6,8,239,17,4369,118,215,78
Lincoln Town Car Ultimate,Lincoln,US,0,0,0,0,0,0,1,44925,25,41217,4.6,8,239,17,4369,118,215,78
Lincoln Town Car Ultimate L,Lincoln,US,0,0,0,0,0,0,1,50470,25,46208,4.6,8,239,17,4474,124,221,78
Mazda6 i,Mazda,Japan,0,0,0,0,0,0,0,19270,32,17817,2.3,4,160,24,3042,105,187,70
Mazda MPV ES,Mazda,Japan,0,0,0,1,0,0,0,28750,25,26600,3,6,200,18,3812,112,188,72
Mazda MX-5 Miata,Mazda,Japan,1,0,0,0,0,0,1,22388,28,20701,1.8,4,142,23,2387,89,156,66
Mazda MX-5 Miata LS,Mazda,Japan,1,0,0,0,0,0,1,25193,28,23285,1.8,4,142,23,2387,89,156,66
Mazda Tribute DX 2.0,Mazda,Japan,0,1,0,0,0,1,0,21087,25,19742,2,4,130,22,3091,103,173,72
Mercedes-Benz C32 AMG,Mercedes-Benz,EU,0,0,0,0,0,0,1,52120,21,48522,3.2,6,349,16,3540,107,178,68
Mercedes-Benz C230 Sport,Mercedes-Benz,EU,0,0,0,0,0,0,1,26060,30,24249,1.8,4,189,22,3250,107,178,68
Mercedes-Benz C240,Mercedes-Benz,EU,0,0,1,0,0,0,1,33780,25,31466,2.6,6,168,19,3470,107,179,68
Mercedes-Benz C240 RWD,Mercedes-Benz,EU,0,0,0,0,0,0,1,32280,25,30071,2.6,6,168,20,3360,107,178,68
